Action,ProductSKU,ProductName,QuantityToProduce,BufferPercent,ProductionInstructionUrl,IgnoreCumulativeLeadTime,ProductionLeadTime,Version,VersionName,VersionDefault,MinQuantity,MaxQuantity,DeviationPercent,RunSize,OperationSequence,OperationType,OperationName,CycleTime,UnitPerCycle,WorkCentreCode,WorkCentreName,PreviousStep,ItemType,ComponentSKU_ResourceCode,ComponentName_ResourceName,Quantity,WastageQuantity_ForStockComponentOnly,WastagePercent_ForStockComponentOnly,CostAllocationType,SalesValue,CostOfWastage,DeliveryTo_LocationName,DeliveryTo_BinName,CoManPriceTier,Tracing,IssueMethodComponent,IssueMethodParameter,OperationIsBackflush,ComponentIsBackflush,ResourceCostType
Create/Update,TEST-CCCH-WC-FILL,Test Creamy Coconut Corn Chowder WIP FILL,7882,0,,No,0,1,,Yes,,,0,,1,Manufacturing,KETTLE CCCH,120,3804.5,TestWorkcenter,Test Work Center For Production,,Component,HDCCSS00001,"Corn, Yellow, Super Sweet, IQF",394.6,0,0,,,,,,,No,Manual,0,No,No,
Create/Update,TEST-CCCH-WC-FILL,Test Creamy Coconut Corn Chowder WIP FILL,7882,0,,No,0,1,,Yes,,,0,,1,Manufacturing,KETTLE CCCH,120,3804.5,TestWorkcenter,Test Work Center For Production,,Component,HDCCMP00001,Coconut Milk Powder,245.8,0,0,,,,,,,No,Manual,0,No,No,
Create/Update,TEST-CCCH-WC-FILL,Test Creamy Coconut Corn Chowder WIP FILL,7882,0,,No,0,1,,Yes,,,0,,1,Manufacturing,KETTLE CCCH,120,3804.5,TestWorkcenter,Test Work Center For Production,,Component,HDCOCA00001,"Onions, cooked, aseptic",221.1,0,0,,,,,,,No,Manual,0,No,No,
Create/Update,TEST-CCCH-WC-FILL,Test Creamy Coconut Corn Chowder WIP FILL,7882,0,,No,0,1,,Yes,,,0,,1,Manufacturing,KETTLE CCCH,120,3804.5,TestWorkcenter,Test Work Center For Production,,Component,HDCRCAU00001,"Cauliflower, IQF, Roasted, florets, fines",187.2,0,0,,,,,,,No,Manual,0,No,No,
Create/Update,TEST-CCCH-WC-FILL,Test Creamy Coconut Corn Chowder WIP FILL,7882,0,,No,0,1,,Yes,,,0,,1,Manufacturing,KETTLE CCCH,120,3804.5,TestWorkcenter,Test Work Center For Production,,Component,HDCOCA00002,"Onions, caramelized, aseptic",111.1,0,0,,,,,,,No,Manual,0,No,No,
Create/Update,TEST-CCCH-WC-FILL,Test Creamy Coconut Corn Chowder WIP FILL,7882,0,,No,0,1,,Yes,,,0,,1,Manufacturing,KETTLE CCCH,120,3804.5,TestWorkcenter,Test Work Center For Production,,Component,HDCMSY00001,Maple Syrup,51.4,0,0,,,,,,,No,Manual,0,No,No,
Create/Update,TEST-CCCH-WC-FILL,Test Creamy Coconut Corn Chowder WIP FILL,7882,0,,No,0,1,,Yes,,,0,,1,Manufacturing,KETTLE CCCH,120,3804.5,TestWorkcenter,Test Work Center For Production,,Component,HDCRBO00001,Rice Bran Oil,42.2,0,0,,,,,,,No,Manual,0,No,No,
Create/Update,TEST-CCCH-WC-FILL,Test Creamy Coconut Corn Chowder WIP FILL,7882,0,,No,0,1,,Yes,,,0,,1,Manufacturing,KETTLE CCCH,120,3804.5,TestWorkcenter,Test Work Center For Production,,Component,HDCCRM00001,Cornmeal,39.6,0,0,,,,,,,No,Manual,0,No,No,
Create/Update,TEST-CCCH-WC-FILL,Test Creamy Coconut Corn Chowder WIP FILL,7882,0,,No,0,1,,Yes,,,0,,1,Manufacturing,KETTLE CCCH,120,3804.5,TestWorkcenter,Test Work Center For Production,,Component,HDCSSL00001,Sea Salt,39.2,0,0,,,,,,,No,Manual,0,No,No,
Create/Update,TEST-CCCH-WC-FILL,Test Creamy Coconut Corn Chowder WIP FILL,7882,0,,No,0,1,,Yes,,,0,,1,Manufacturing,KETTLE CCCH,120,3804.5,TestWorkcenter,Test Work Center For Production,,Component,HDCVBP00001,Vegetable Broth Paste New Horizons,23.2,0,0,,,,,,,No,Manual,0,No,No,
